# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:35
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 1
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 5.0
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,in_service1
     732.386,   366,  Arrival, after,   2,  13,   1
     738.977,   379,  Arrival,before,   1,  13,   1
     738.977,   379,  Arrival, after,   2,  14,   1
     739.766,   380,  Arrival,before,   1,  14,   1
     739.766,   380,  Arrival, after,   2,  15,   1
     744.815,   381,  Arrival,before,   1,  15,   1
     744.815,   381,  Arrival, after,   2,  16,   1
     746.066,   382,  Arrival,before,   1,  16,   1
     746.066,   382,  Arrival, after,   2,  17,   1
     746.779,   383,  Arrival,before,   1,  17,   1
     746.779,   383,  Arrival, after,   2,  18,   1
     752.707,   384,  Arrival,before,   1,  18,   1
     752.707,   384,  Arrival, after,   2,  19,   1
     753.656,   385,  Arrival,before,   1,  19,   1
     753.656,   385,  Arrival, after,   2,  20,   1
     756.785,   386,  Arrival,before,   1,  20,   1
     756.785,   386,  Arrival, after,   2,  21,   1
     756.961,   378,Finish(1),before,   1,  21,   1
     756.961,   378,Finish(1), after,   2,  20,   1
