# file created by code in security_q.jl
# file created on 2024-08-15 at 12:29:22
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: n_queues = 2
# parameter: mean_interarrival = 5.2
# parameter: mean_server_time = 10.0
# parameter: time_units = minutes
time,event_id,event_type,timing,length_event_list,length_queue1,in_service1,length_queue2,in_service2
     501.084,   265,Finish(2), after,   3,   1,   1,   2,   1
     516.138,   272,Finish(2),before,   2,   1,   1,   2,   1
     516.138,   272,Finish(2), after,   3,   1,   1,   1,   1
     522.233,   270,Finish(1),before,   2,   1,   1,   1,   1
     522.233,   270,Finish(1), after,   3,   0,   1,   1,   1
     522.269,   266,  Arrival,before,   2,   0,   1,   1,   1
     522.269,   266,  Arrival, after,   3,   1,   1,   1,   1
     525.120,   277,  Arrival,before,   2,   1,   1,   1,   1
     525.120,   277,  Arrival, after,   3,   2,   1,   1,   1
     528.545,   274,Finish(2),before,   2,   2,   1,   1,   1
     528.545,   274,Finish(2), after,   3,   2,   1,   0,   1
     529.698,   278,  Arrival,before,   2,   2,   1,   0,   1
     529.698,   278,  Arrival, after,   3,   2,   1,   1,   1
     535.701,   276,Finish(1),before,   2,   2,   1,   1,   1
     535.701,   276,Finish(1), after,   3,   1,   1,   1,   1
     537.437,   280,Finish(2),before,   2,   1,   1,   1,   1
     537.437,   280,Finish(2), after,   3,   1,   1,   0,   1
     539.498,   281,  Arrival,before,   2,   1,   1,   0,   1
     539.498,   281,  Arrival, after,   3,   1,   1,   1,   1
     540.968,   286,  Arrival,before,   2,   1,   1,   1,   1
     540.968,   286,  Arrival, after,   3,   2,   1,   1,   1
     541.268,   287,  Arrival,before,   2,   2,   1,   1,   1
     541.268,   287,  Arrival, after,   3,   2,   1,   2,   1
     544.792,   285,Finish(2),before,   2,   2,   1,   2,   1
     544.792,   285,Finish(2), after,   3,   2,   1,   1,   1
     545.962,   288,  Arrival,before,   2,   2,   1,   1,   1
     545.962,   288,  Arrival, after,   3,   2,   1,   2,   1
     546.880,   290,Finish(2),before,   2,   2,   1,   2,   1
     546.880,   290,Finish(2), after,   3,   2,   1,   1,   1
     550.289,   291,  Arrival,before,   2,   2,   1,   1,   1
     550.289,   291,  Arrival, after,   3,   2,   1,   2,   1
     550.703,   283,Finish(1),before,   2,   2,   1,   2,   1
     550.703,   283,Finish(1), after,   3,   1,   1,   2,   1
     553.022,   294,  Arrival,before,   2,   1,   1,   2,   1
     553.022,   294,  Arrival, after,   3,   2,   1,   2,   1
     553.088,   297,  Arrival,before,   2,   2,   1,   2,   1
     553.088,   297,  Arrival, after,   3,   3,   1,   2,   1
     554.192,   293,Finish(2),before,   2,   3,   1,   2,   1
     554.192,   293,Finish(2), after,   3,   3,   1,   1,   1
     568.117,   298,  Arrival,before,   2,   3,   1,   1,   1
     568.117,   298,  Arrival, after,   3,   3,   1,   2,   1
     572.806,   300,Finish(2),before,   2,   3,   1,   2,   1
     572.806,   300,Finish(2), after,   3,   3,   1,   1,   1
     573.317,   301,  Arrival,before,   2,   3,   1,   1,   1
     573.317,   301,  Arrival, after,   3,   3,   1,   2,   1
     574.349,   303,Finish(2),before,   2,   3,   1,   2,   1
     574.349,   303,Finish(2), after,   3,   3,   1,   1,   1
     575.213,   304,  Arrival,before,   2,   3,   1,   1,   1
     575.213,   304,  Arrival, after,   3,   3,   1,   2,   1
     575.622,   307,  Arrival,before,   2,   3,   1,   2,   1
     575.622,   307,  Arrival, after,   3,   3,   1,   3,   1
     579.517,   296,Finish(1),before,   2,   3,   1,   3,   1
     579.517,   296,Finish(1), after,   3,   2,   1,   3,   1
     582.727,   308,  Arrival,before,   2,   2,   1,   3,   1
     582.727,   308,  Arrival, after,   3,   3,   1,   3,   1
     585.616,   311,  Arrival,before,   2,   3,   1,   3,   1
     585.616,   311,  Arrival, after,   3,   4,   1,   3,   1
     589.022,   312,  Arrival,before,   2,   4,   1,   3,   1
     589.022,   312,  Arrival, after,   3,   4,   1,   4,   1
     592.780,   310,Finish(1),before,   2,   4,   1,   4,   1
     592.780,   310,Finish(1), after,   3,   3,   1,   4,   1
     596.015,   315,Finish(1),before,   2,   3,   1,   4,   1
     596.015,   315,Finish(1), after,   3,   2,   1,   4,   1
     603.026,   306,Finish(2),before,   2,   2,   1,   4,   1
